movie_id	title	is_adult	release_year	duration	genres	avg_rating	votes	directors	writers	actors
tt5677418	Seuls ceux qui aiment	false	2014	0		0.0	0	Hervé Harding Guiffo	Pascaline Ntema|Paul Steveck	Etienne Eben|Paul Steveck|Dobelle Afubu|Stephane Kamguia|Christelle Ondouas|Pascaline Ntema|Hervé Harding Guiffo|Barry Amayen|Blanche Bana
tt3661698	Z: Hatenaki kibou	false	2014	109	Horror	0.0	0	Norio Tsuruta	Kôji Aihara|Hiroshi Sakamaki|Norio Tsuruta	Kôji Aihara|Tomohiko Aoki|Hiroshi Sakamaki|Jun Terao|Nii Ichii|Norio Tsuruta|Hajime Kanda|Mayu Kawamoto|Yoshifumi Fukazawa
tt3727282	Open Mic Stopped & Frisked	false	2014	60	Biography,Comedy,Documentary	0.0	0	Omar Dyer	Omar Dyer	Omar Dyer
tt3660684	Worst Case Scenario	false	2014	82	Comedy,Drama	5.7	46	Franz Müller	Franz Müller	Katharina Jakobs|Markéta Polednová|Franz Müller|Tobias Ellenberg|Andreas Menn|Samuel Finzi|Kawe Vakil|Mirek Balonis|Eva Löbau|Justyna Bartoszewicz
tt3614348	Die 30 tollsten Musikstars der Achtziger	false	2014	0	Documentary	0.0	0	Stephan Düfel	Stephan Düfel	Idil Baydar|Stephan Düfel|Jürgen Karney|Susanne Betancor|Bürger Lars Dietrich|Jeanette Biedermann|Anja Heyde|Uwe Hübner|Stefan Bruse|Djamil Deininger
tt3569788	Naan Sigappu Manithan	false	2014	149	Action,Drama,Thriller	6.6	724	Thiru	Thiru	Anthony L. Ruben|G.V. Prakash Kumar|Vishal|Ronnie Screwvala|Richard M. Nathan|Iniya|Siddharth Roy Kapur|Thiru|Saranya Ponvannan|Lakshmi Menon
tt3666526	Copa de Elite	false	2014	109	Comedy	4.1	419	Vitor Brandt	Pedro Aguilera|Vitor Brandt	Pedro Aguilera|Daniel Furlan|Marcos Veras|Rafinha Bastos|Paulo Boccato|Vitor Brandt|Pablo Baião|André Moraes|Júlia Rabello|Mayra Lucas
tt3181582	A.I.M: Angry Insecure Men	false	2014	88	Drama	0.0	0	Tasha Biltmore|Angel Terron	Angel Terron	Vonn Harris|Kendall Alexandria|Angel Terron|Parris Franz|Reatha Grey|Yarett Harper|Amy Hatfield|Jujo Ballo|Tasha Biltmore|Trae Ireland
tt3509416	Cheol-ae-kum	false	2014	98	Documentary	7.4	19	Kelvin Kyung Kun Park	Kelvin Kyung Kun Park	Kyungmi Kim|Kelvin Kyung Kun Park|Paulo Vivacqua
tt4681516	Plastic Harem	false	2014	0	Documentary	0.0	0	Rob Schröder|Gabrielle Provaas		Rob Schröder|Gabrielle Provaas
tt4675316	Baby Booking	false	2014	68	Biography,Crime,Documentary	0.0	0	Michael Nakan	Michael Nakan	Michael Nakan|Matthew Sullivan
tt3198986	The United States of BBQ	false	2014	74	Documentary,Drama,Family	0.0	0	Rob Travalino	Rob Travalino	Chris Bongirne|Carey Bringle|Harry Kafka|Haley Barbour|Kenny Callaghan|Rob Travalino|Pat Brock
tt2398306	Marriage Material	false	2014	103	Comedy,Family,Romance	6.2	29	Ann Deborah Fishman|Dave DeBorde	Ann Deborah Fishman	Maddy Curley|Steph Carse|Victoria Jackson|Kyle James|Jon Schellenger|Ron Turowski|Gabriel Miller|Ann Deborah Fishman|Dave DeBorde|Logan Johnson
tt2380321	Wal-Bob's	false	2014	92	Comedy,Romance	6.1	7	Anthony Cook	Anthony Cook|Kevin Porter Jr.	Luis Eduardo Valencia|Kevin Porter Jr.|Natasha Midgley|Dale Waddington|Rock Anthony|Edwin Chesley|Louisa Abernathy|Carrin Tanaka|Krushan Patel|Anthony Cook
tt3594690	Honor of the Warrior	false	2014	24	Biography,Documentary,History	0.0	0	Lauren Garren	Lauren Garren	Lauren Garren|Robert Delsi
tt3586880	Go! Go! Kaden Danshi	false	2014	0	Comedy	0.0	0	Rokugou|Kiyoto Kawamura	Takeshi Miyamoto	Kenta Hamano|Kana Hanazawa|Shigeki Hosokawa|Daigo Matsui|Kiyoto Kawamura|Yûichirô Nakayama|Takeshi Miyamoto|Rokugou
tt4459454	A Pebble of Love in the Shoe of My Life	false	2014	90	Drama	0.0	0		Hossein Keshavarz	Frank Francisco|Hossein Keshavarz
tt4452684	Solidarnosc wedlug kobiet	false	2014	113	Documentary	7.9	9	Marta Dzido|Piotr C. Sliwowski	Marta Dzido	Piotr Sliwowski|Piotr C. Sliwowski|Michal Wisniowski|Jadwiga Chmielowska|Anna Dodziuk|Maria Holka|Magdalena Mosiewicz|Joanna Duda-Gwiazda|Marta Dzido
tt3333080	The Hollow Arm	false	2014	54	Documentary,History,Music	0.0	0	Alden Morgan	Alden Morgan	Stephen Bennett|Michael Manring|John Doan|Muriel Anderson|Stacy Hobbs|Mike Doolin|Andy McKee|Fred Carlson|Bob Hartman|Alden Morgan
tt3120430	Mantus	false	2014	0	Comedy,Drama,Thriller	6.0	5	Enzo Zelocchi	Enzo Zelocchi	Federico Truzzi|Marina Vorobeva|Paul Gregory|Miryam Negrin|Enzo Zelocchi|Olivia Kuan|Atsuko Atake
tt4384124	A Cosmic and Earthly History of Recorded Music According to Mississippi Records	false	2014	90	Documentary,Music	0.0	0	Eric Isaacson		Eric Isaacson|Christopher Kirkley
tt4359310	We Came to Dance	false	2014	58	Documentary	0.0	0	Didier Volckaert	Didier Volckaert	Didier Volckaert
tt4293698	Genetic Me	false	2014	56	Documentary	7.1	45	Pernille Rose Grønkjær	Lone Frank	Jørgen Lauritsen|James Fallon|Bjørn Vidø|Jay Belsky|Thomas Gerhardt|Jesper Eugen-Olsen|Talib Rasmussen|Jacob Kusk|Lone Frank|Pernille Rose Grønkjær
tt3280820	Amar Akashe Megh Brishti	false	2014	0	Drama	0.0	0	Sujan Mukherjee		Jagriti Banerjee|Tamal Chakraborty|Nilip Deb|Sujan Mukherjee|Satorupa Chakroborty
tt3263690	Concerning Violence	false	2014	90	Documentary,Drama,History	7.4	521	Göran Olsson	Frantz Fanon|Göran Olsson	Tobias Janson|Bo Bjelfvenstam|Annika Rogell|Gayatri Chakravorty Spivak|Frantz Fanon|Lauryn Hill|Kati Outinen|Gaetano Pagano|Lis Asklund|Göran Olsson
tt6412268	Nu fang zhi qing chun zai jian	false	2014	0	Drama	0.0	0	Gengxu Lu	Gengxu Lu	Yuye Wang|Hao Qin|Qiuchi Han|Haitao Du|Yuan Ze|Florian Zinke|Gengxu Lu|Yueming Pan|Yulai Lu|Zi Liu
tt4286458	Mira Story	false	2014	84	Adventure,Documentary	0.0	0	Chul Heo	Chul Heo	Ji Hoon Kim|Dong Hoon Lee|Chul Heo|Mira Choi
tt3233224	Boss Wants a Happy Ending	false	2014	109	Comedy,Romance	6.2	4759	Kivanç Baruönü	Yilmaz Erdogan	Jingle House|Kivanç Baruönü|Can Yilmaz|Necati Akpinar|Ezgi Mola|Jean-Paul Seresin|Erkan Can|Murat Basoglu|Tolga Çevik|Yilmaz Erdogan
tt3290714	Samurai Hustle	false	2014	119	Action,Comedy,History	6.2	154	Katsuhide Motoki	Akihiro Dobashi	Masahiko Nishimura|Katsuhide Motoki|Kyoko Fukada|Tsuyoshi Ihara|Akihiro Dobashi|Seiji Rokkaku|Takanori Jinnai|Yûsuke Kamiji|Yasufumi Terawaki|Kuranosuke Sasaki
tt4242178	On Pointe, a conversation with Barbara Crockett	false	2014	38	Biography,Documentary,History	0.0	0	Susana Halfon	Susana Halfon	Allyson Dean|Susana Halfon|Ron Cunningham|Barbara Crockett|Don Schwennesen
tt4226536	Lupino	false	2014	49	Documentary	0.0	0	Laura Lamanda|François Farellacci	François Farellacci|Laura Lamanda	François Farellacci|Laura Lamanda|Jean-Étienne Brat
tt4220318	Por el camino de Modesto	false	2014	110	Documentary	0.0	0	Sebastián Deus	Sebastián Deus	Sebastián Deus|Martín Frías|María Isabel Buceta|María Redondo Alias|Bernardo Maíz Vázquez
tt4196586	For All	false	2014	15	Documentary,Family	0.0	0	Rachel Stevens	Rachel Stevens	Rachel Stevens|Josef Metesh|Sarah Meismer
